ID Race,Race,ID Year,Year,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography
8,Other,2016,2016,TRUE,TRUE,412031,Retail salespersons,21578.89406,5694.341397,4748,1690.779584,33,New Jersey,04000US34,new-jersey
8,Other,2016,2016,TRUE,TRUE,252020,Elementary & middle school teachers,81129.8329,21382.77163,1538,962.662831,14,New Jersey,04000US34,new-jersey
2,Black,2015,2015,TRUE,TRUE,291141,Registered nurses,62928.11864,6606.829768,12441,2734.371667,115,New Jersey,04000US34,new-jersey
1,White,2015,2015,TRUE,TRUE,252020,Elementary & middle school teachers,56705.40976,2096.252514,104529,7838.168105,1144,New Jersey,04000US34,new-jersey
8,Other,2015,2015,TRUE,TRUE,412031,Retail salespersons,20578.40654,5520.182239,5291,1784.71808,36,New Jersey,04000US34,new-jersey
8,Other,2015,2015,TRUE,TRUE,291141,Registered nurses,56947.96231,19144.75539,1751,1027.134194,10,New Jersey,04000US34,new-jersey
8,Other,2015,2015,TRUE,TRUE,533030,Driver/sales workers & truck drivers,34054.30455,3762.167163,12448,2735.138525,75,New Jersey,04000US34,new-jersey
6,Asian,2015,2015,TRUE,TRUE,533030,Driver/sales workers & truck drivers,45277.80083,18659.39865,2897,1320.988437,23,New Jersey,04000US34,new-jersey
6,Asian,2015,2015,TRUE,TRUE,291141,Registered nurses,85154.0146,5578.280847,18624,3343.067784,177,New Jersey,04000US34,new-jersey
6,Asian,2015,2015,TRUE,TRUE,412031,Retail salespersons,17979.69431,8221.100051,6644,1999.61059,60,New Jersey,04000US34,new-jersey
6,Asian,2015,2015,TRUE,TRUE,252020,Elementary & middle school teachers,40553.59143,16171.18005,2964,1336.165943,36,New Jersey,04000US34,new-jersey
2,Black,2015,2015,TRUE,TRUE,533030,Driver/sales workers & truck drivers,37856.8373,4923.887526,13497,2847.69649,112,New Jersey,04000US34,new-jersey
8,Other,2015,2015,TRUE,TRUE,252020,Elementary & middle school teachers,38647.49569,12294.49536,2784,1294.986486,22,New Jersey,04000US34,new-jersey
9,Two or More Races,2015,2015,TRUE,TRUE,252020,Elementary & middle school teachers,55696.1767,8419.444725,1013,781.3165896,13,New Jersey,04000US34,new-jersey
