ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
10,$90-100k,2015,2015,TRUE,TRUE,3312220,44163.15761,33267,United States,01000US,united-states,0.023096777
13,$120-130k,2015,2015,TRUE,TRUE,82766,6993.172684,878,New Jersey,04000US34,new-jersey,0.019727045
13,$120-130k,2015,2015,TRUE,TRUE,1900044,33617.10337,19333,United States,01000US,united-states,0.01324939
9,$80-90k,2015,2015,TRUE,TRUE,190719,10475.37093,1962,New Jersey,04000US34,new-jersey,0.045457341
9,$80-90k,2015,2015,TRUE,TRUE,4852634,53160.42135,47855,United States,01000US,united-states,0.033838395
14,$130-140k,2015,2015,TRUE,TRUE,53890,5662.674892,556,New Jersey,04000US34,new-jersey,0.012844531
14,$130-140k,2015,2015,TRUE,TRUE,1025432,24772.50318,10524,United States,01000US,united-states,0.007150544
8,$70-80k,2015,2015,TRUE,TRUE,217307,11144.55798,2226,New Jersey,04000US34,new-jersey,0.051794516
8,$70-80k,2015,2015,TRUE,TRUE,6316268,60328.68324,62783,United States,01000US,united-states,0.044044609
15,$140-150k,2015,2015,TRUE,TRUE,39327,4845.907754,424,New Jersey,04000US34,new-jersey,0.009373481
15,$140-150k,2015,2015,TRUE,TRUE,772097,21514.85455,7982,United States,01000US,united-states,0.005383988
7,$60-70k,2015,2015,TRUE,TRUE,287042,12695.75615,2878,New Jersey,04000US34,new-jersey,0.068415658
7,$60-70k,2015,2015,TRUE,TRUE,8817232,70625.51954,87211,United States,01000US,united-states,0.061484335
16,$150-160k,2015,2015,TRUE,TRUE,56636,5803.230262,620,New Jersey,04000US34,new-jersey,0.013499032
16,$150-160k,2015,2015,TRUE,TRUE,1079531,25412.74016,11176,United States,01000US,united-states,0.007527787
11,$100-110k,2015,2015,TRUE,TRUE,156334,9524.793901,1609,New Jersey,04000US34,new-jersey,0.037261772
6,$50-60k,2015,2015,TRUE,TRUE,11448206,79685.14343,112548,United States,01000US,united-states,0.079830647
17,$160-170k,2015,2015,TRUE,TRUE,24454,3828.074294,254,New Jersey,04000US34,new-jersey,0.005828543
17,$160-170k,2015,2015,TRUE,TRUE,491260,17178.50288,5092,United States,01000US,united-states,0.003425655
5,$40-50k,2015,2015,TRUE,TRUE,374634,14340.61243,3479,New Jersey,04000US34,new-jersey,0.089292967
5,$40-50k,2015,2015,TRUE,TRUE,14797713,89438.16928,141829,United States,01000US,united-states,0.103187434
18,$170-180k,2015,2015,TRUE,TRUE,21682,3605.780917,241,New Jersey,04000US34,new-jersey,0.005167844
18,$170-180k,2015,2015,TRUE,TRUE,412068,15737.44942,4236,United States,01000US,united-states,0.002873433
4,$30-40k,2015,2015,TRUE,TRUE,436846,15359.02379,3986,New Jersey,04000US34,new-jersey,0.104121023
4,$30-40k,2015,2015,TRUE,TRUE,18742734,99100.72997,174251,United States,01000US,united-states,0.130696861
19,$180-190k,2015,2015,TRUE,TRUE,19140,3388.853859,205,New Jersey,04000US34,new-jersey,0.004561966
19,$180-190k,2015,2015,TRUE,TRUE,389361,15298.9141,4044,United States,01000US,united-states,0.002715093
3,$20-30k,2015,2015,TRUE,TRUE,508958,16418.51561,4542,New Jersey,04000US34,new-jersey,0.121308717
3,$20-30k,2015,2015,TRUE,TRUE,21308700,104573.7412,189804,United States,01000US,united-states,0.148589859
20,$190-200k,2015,2015,TRUE,TRUE,10212,2477.998166,112,New Jersey,04000US34,new-jersey,0.002434002
20,$190-200k,2015,2015,TRUE,TRUE,194729,10826.67286,2025,United States,01000US,united-states,0.001357885
2,$10-20k,2015,2015,TRUE,TRUE,539486,16833.61416,4683,New Jersey,04000US34,new-jersey,0.12858498
2,$10-20k,2015,2015,TRUE,TRUE,20987738,103919.5025,185322,United States,01000US,united-states,0.146351726
21,$200k+,2015,2015,TRUE,TRUE,155317,9494.957616,1717,New Jersey,04000US34,new-jersey,0.037019373
21,$200k+,2015,2015,TRUE,TRUE,2981526,41949.9846,31850,United States,01000US,united-states,0.020790782
1,< $10K,2015,2015,TRUE,TRUE,18582269,98739.08154,178082,United States,01000US,united-states,0.129577906
7,$60-70k,2014,2014,TRUE,TRUE,290550,12766.90107,2873,New Jersey,04000US34,new-jersey,0.069319554
15,$140-150k,2014,2014,TRUE,TRUE,711579,20657.90804,7320,United States,01000US,united-states,0.005052787
14,$130-140k,2014,2014,TRUE,TRUE,47919,5343.573506,489,New Jersey,04000US34,new-jersey,0.011432537
2,$10-20k,2014,2014,TRUE,TRUE,523115,16612.14657,4669,New Jersey,04000US34,new-jersey,0.12480502
8,$70-80k,2014,2014,TRUE,TRUE,6082701,59229.132,60286,United States,01000US,united-states,0.043192105
19,$180-190k,2014,2014,TRUE,TRUE,340317,14305.11006,3574,United States,01000US,united-states,0.002416526
8,$70-80k,2014,2014,TRUE,TRUE,224337,11313.06746,2299,New Jersey,04000US34,new-jersey,0.053522426
15,$140-150k,2014,2014,TRUE,TRUE,34745,4557.36043,373,New Jersey,04000US34,new-jersey,0.008289478
10,$90-100k,2014,2014,TRUE,TRUE,3142806,43036.07892,31683,United States,01000US,united-states,0.022316469
3,$20-30k,2014,2014,TRUE,TRUE,20932980,103644.5866,189492,United States,01000US,united-states,0.148641118
3,$20-30k,2014,2014,TRUE,TRUE,503010,16334.36821,4492,New Jersey,04000US34,new-jersey,0.12000836
1,< $10K,2014,2014,TRUE,TRUE,19175353,99922.42406,183307,United States,01000US,united-states,0.136160542
16,$150-160k,2014,2014,TRUE,TRUE,51096,5515.752974,534,New Jersey,04000US34,new-jersey,0.012190507
9,$80-90k,2014,2014,TRUE,TRUE,187698,10395.7551,1873,New Jersey,04000US34,new-jersey,0.044781076
16,$150-160k,2014,2014,TRUE,TRUE,997029,24427.88382,10147,United States,01000US,united-states,0.007079714
20,$190-200k,2014,2014,TRUE,TRUE,179799,10403.77573,1857,United States,01000US,united-states,0.001276719
13,$120-130k,2014,2014,TRUE,TRUE,1775893,32510.78509,17990,United States,01000US,united-states,0.012610279
17,$160-170k,2014,2014,TRUE,TRUE,23769,3774.377255,256,New Jersey,04000US34,new-jersey,0.005670819
4,$30-40k,2014,2014,TRUE,TRUE,451320,15580.38921,4116,New Jersey,04000US34,new-jersey,0.107676136
