ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,ygopop RCA,Record Count,Slug Detailed Occupation,Geography,ID Geography,Slug Geography
291151,Nurse anesthetists,2016,2016,TRUE,TRUE,364,468.389145,183677.206,33709.71844,0.38681689,5,nurse-anesthetists,New Jersey,04000US34,new-jersey
413031,"Securities, commodities, & financial services sales agents",2014,2014,TRUE,TRUE,13620,2860.596158,180534.5803,36997.33553,2.020220844,144,securities-commodities-financial-services-sales-agents,New Jersey,04000US34,new-jersey
2310XX,"Lawyers, & judges, magistrates, & other judicial workers",2017,2017,TRUE,TRUE,37339,4723.671794,180213.965,19918.91789,1.30365814,437,lawyers-judges-magistrates-other-judicial-workers,New Jersey,04000US34,new-jersey
113111,Compensation & benefits managers,2018,2018,TRUE,TRUE,960,760.6102935,177843.9052,165100.8425,1.67686329,10,compensation-benefits-managers,New Jersey,04000US34,new-jersey
2310XX,"Lawyers, & judges, magistrates, & other judicial workers",2015,2015,TRUE,TRUE,35937,4634.231083,175831.3851,19397.34889,1.266695497,379,lawyers-judges-magistrates-other-judicial-workers,New Jersey,04000US34,new-jersey
413031,"Securities, commodities, & financial services sales agents",2015,2015,TRUE,TRUE,14632,2964.612811,175033.0826,34587.79777,2.224201824,143,securities-commodities-financial-services-sales-agents,New Jersey,04000US34,new-jersey
2310XX,"Lawyers, & judges, magistrates, & other judicial workers",2016,2016,TRUE,TRUE,38147,4773.576891,174557.0348,18313.16049,1.328307374,406,lawyers-judges-magistrates-other-judicial-workers,New Jersey,04000US34,new-jersey
292035,Magnetic resonance imaging technologists,2018,2018,TRUE,TRUE,1605,983.4034458,173581.5819,121356.3304,1.355695506,16,magnetic-resonance-imaging-technologists,New Jersey,04000US34,new-jersey
119041,Architectural & engineering managers,2017,2017,TRUE,TRUE,3479,1447.530847,172204.9908,50187.56762,0.710727644,36,architectural-engineering-managers,New Jersey,04000US34,new-jersey
291131,Veterinarians,2015,2015,TRUE,TRUE,1064,800.7381066,171619.843,113361.8364,0.543645086,13,veterinarians,New Jersey,04000US34,new-jersey
291020,Dentists,2018,2018,TRUE,TRUE,6076,1912.399154,170966.658,47041.2371,1.488066207,59,dentists,New Jersey,04000US34,new-jersey
132061,Financial examiners,2018,2018,TRUE,TRUE,844,713.1873432,167124.9953,49772.74434,2.167305022,10,financial-examiners,New Jersey,04000US34,new-jersey
291041,Optometrists,2018,2018,TRUE,TRUE,607,604.8374082,166778.799,106916.0321,0.556815606,7,optometrists,New Jersey,04000US34,new-jersey
434041,"Credit authorizers, checkers, & clerks",2018,2018,TRUE,TRUE,646,623.9626587,165373.1904,57814.58925,0.502072661,6,credit-authorizers-checkers-clerks,New Jersey,04000US34,new-jersey
119041,Architectural & engineering managers,2016,2016,TRUE,TRUE,4284,1606.127958,165184.4592,45123.77896,0.965135516,43,architectural-engineering-managers,New Jersey,04000US34,new-jersey
119121,Natural sciences managers,2017,2017,TRUE,TRUE,1097,813.0610861,163129.5807,95727.38432,1.654477838,16,natural-sciences-managers,New Jersey,04000US34,new-jersey
132051,Financial analysts,2018,2018,TRUE,TRUE,11087,2581.812745,161940.757,38022.24724,1.804844599,112,financial-analysts,New Jersey,04000US34,new-jersey
291020,Dentists,2014,2014,TRUE,TRUE,5549,1827.655985,160800.9355,41870.26238,1.362252376,64,dentists,New Jersey,04000US34,new-jersey
2310XX,"Lawyers, & judges, magistrates, & other judicial workers",2014,2014,TRUE,TRUE,36249,4654.110077,160320.8968,17613.93519,1.286309481,408,lawyers-judges-magistrates-other-judicial-workers,New Jersey,04000US34,new-jersey
532010,Aircraft pilots & flight engineers,2018,2018,TRUE,TRUE,1848,1055.195651,156707.0839,57740.46598,0.343825194,24,aircraft-pilots-flight-engineers,New Jersey,04000US34,new-jersey
132099,Other financial specialists (Legacy),2016,2016,TRUE,TRUE,2564,1242.803635,156404.4602,63084.75415,1.728920496,26,other-financial-specialists,New Jersey,04000US34,new-jersey
291151,Nurse anesthetists,2017,2017,TRUE,TRUE,744,669.6131846,155876.6868,25210.51851,0.808500701,10,nurse-anesthetists,New Jersey,04000US34,new-jersey
132099,Other financial specialists (Legacy),2017,2017,TRUE,TRUE,2307,1178.916624,155794.1079,72834.94945,1.60808489,24,other-financial-specialists,New Jersey,04000US34,new-jersey
132052,Personal financial advisors,2016,2016,TRUE,TRUE,15825,3082.728285,155271.7618,29333.15523,1.565424887,149,personal-financial-advisors,New Jersey,04000US34,new-jersey
132052,Personal financial advisors,2017,2017,TRUE,TRUE,15581,3059.084021,154813.6247,29352.19018,1.498148862,162,personal-financial-advisors,New Jersey,04000US34,new-jersey
152011,Actuaries,2015,2015,TRUE,TRUE,2076,1118.358287,154661.0458,57902.74141,2.653654968,22,actuaries,New Jersey,04000US34,new-jersey
132052,Personal financial advisors,2014,2014,TRUE,TRUE,14351,2936.101613,154088.4563,29161.14352,1.465291809,142,personal-financial-advisors,New Jersey,04000US34,new-jersey
132052,Personal financial advisors,2015,2015,TRUE,TRUE,15712,3071.678587,153602.9889,29463.9593,1.624776407,171,personal-financial-advisors,New Jersey,04000US34,new-jersey
113031,Financial managers,2018,2018,TRUE,TRUE,47307,5310.685726,153254.5428,16328.34479,1.399987435,516,financial-managers,New Jersey,04000US34,new-jersey
